DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
201212103,05/02/2020,05/02/2020,0005,12,77th Street,1257,997,TRAFFIC COLLISION,4012 3037 3004 3028 3030 3101,25,M,H,101,STREET,76TH                         ST,FIGUEROA                     ST,"(33.9708, -118.2827)",23675,775,756,7,14,
191019267,12/21/2019,12/21/2019,0005,10,West Valley,1049,997,TRAFFIC COLLISION,4010 3004 3037 3030 3028 3101,36,M,W,101,STREET,BURBANK                      BL,HAYVENHURST                  AV,"(34.167, -118.4923)",19737,2337,1223,,3,62
191324386,12/24/2019,12/24/2019,0005,13,Newton,1309,997,TRAFFIC COLLISION,3101 3401 3701 0605 3003 3024,27,M,B,101,STREET,ALAMEDA                      ST,WASHINGTON                   BL,"(34.02, -118.2395)",23082,533,1287,7,9,76
190817938,11/01/2019,11/01/2019,0005,08,West LA,0893,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4008,20,F,O,101,STREET,WESTWOOD                     BL,COVENTRY                     PL,"(34.0334, -118.4232)",24029,888,1251,9,6,75
190622115,11/09/2019,11/09/2019,0005,06,Hollywood,0656,997,TRAFFIC COLLISION,3101 3004 3028 3030 3035 3037 3401 3701 4006,35,M,W,101,STREET,SANTA MONICA,COLE,"(34.0907, -118.3299)",23669,442,535,,8,34
201212282,05/06/2020,05/06/2020,0005,12,77th Street,1269,997,TRAFFIC COLLISION,4012 3037 3004 3026 3101 3602,43,F,B,101,STREET,MANCHESTER                   AV,SAN PEDRO,"(33.9601, -118.2695)",22352,798,1175,7,13,45
200405581,02/11/2020,02/11/2020,0005,04,Hollenbeck,0449,997,TRAFFIC COLLISION,3004 0605 3101 3401 3701 3030 3036,23,M,H,101,STREET,E  CESAR E CHAVEZ               AV,LORENA                       ST,"(34.0527, -118.1969)",23450,509,1216,,9,38
200606415,02/16/2020,02/16/2020,0005,06,Hollywood,0666,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4006,34,M,W,101,STREET,WILCOX                       AV,SUNSET                       BL,"(34.098, -118.331)",23446,422,468,,8,34
200905312,01/30/2020,01/17/2020,0005,09,Van Nuys,0952,997,TRAFFIC COLLISION,3004 3028 3030 3036 3101 4009,42,M,B,101,STREET,KESTER                       AV,ALBERS                       ST,"(34.1703, -118.4574)",19735,247,666,,7,83
192021675,12/20/2019,12/20/2019,0005,20,Olympic,2021,997,TRAFFIC COLLISION,3006 3025 3035 3037 3103 3401 3701 4027,18,,,101,STREET,5TH                          ST,WILTON                       PL,"(34.0653, -118.3152)",23081,588,875,,7,86
200204137,01/01/2020,01/01/2020,0005,02,Rampart,0247,997,TRAFFIC COLLISION,3101 3401 3701 3004 3029 3026 3036,27,F,H,101,STREET,3RD,UNION,"(34.0613, -118.2689)",24352,551,836,,8,67
201608788,05/06/2020,05/06/2020,0005,16,Foothill,1638,997,TRAFFIC COLLISION,3006 3037 3028 3030 3101 4026,22,M,O,101,STREET,MCCLEMONT                    AV,SUMMITROSE                   ST,"(34.2596, -118.2951)",3222,1,440,,1,7
201215146,06/22/2020,06/14/2020,0005,12,77th Street,1208,997,TRAFFIC COLLISION,0605 1402 4012 3037 3006 3028 3030 3101,26,M,H,101,STREET,48TH                         ST,FIGUEROA                     ST,"(33.9997, -118.2827)",23668,739,896,7,13,2
202105524,02/03/2020,02/02/2020,0005,21,Topanga,2103,997,TRAFFIC COLLISION,3037 3006 3030 3028 3101 4021,25,M,O,101,STREET,ROSCOE                       BL,SHOUP                        AV,"(34.2195, -118.6147)",4279,279,267,,4,37
201212104,05/02/2020,05/02/2020,0005,12,77th Street,1257,997,TRAFFIC COLLISION,4012 3037 3006 3028 3030 3101,,F,H,101,STREET,77TH                         ST,HOOVER                       ST,"(33.9698, -118.2871)",23675,776,1360,7,14,
191920608,12/15/2019,12/15/2019,0005,19,Mission,1981,997,TRAFFIC COLLISION,3004 3028 3034 3037 3101 4019,29,M,W,101,STREET,ROSCOE                       BL,SAN DIEGO                    FY,"(34.2267, -118.4704)",18914,124,420,,3,73
201700507,01/04/2020,01/04/2020,0005,17,Devonshire,1752,997,TRAFFIC COLLISION,3006 3037 3028 3101 4017,,F,X,101,STREET,VINTAGE                      ST,DE SOTO                      AV,"(34.2518, -118.5886)",4284,99,233,,2,43
201904154,01/05/2020,01/05/2020,0005,19,Mission,1951,997,TRAFFIC COLLISION,3006 3037 3026 3038 3032 3101 4026,20,M,A,,,00,,"(34.2573, -118.4674)",19330,74,253,,1,4
200713249,08/29/2020,08/29/2020,0005,07,Wilshire,0711,997,TRAFFIC COLLISION,3011 3028 3030 3034 3037 3101 3401 3701 4027,45,,,102,SIDEWALK,LA CIENEGA                   BL,WESTMOUNT                    DR,"(34.0785, -118.3766)",23679,462,1082,,6,26
201509896,05/12/2020,05/12/2020,0005,15,N Hollywood,1543,997,TRAFFIC COLLISION,3004 3036 3026 3101 4026,51,F,H,101,STREET,LAUREL CANYON                BL,WEDDINGTON                   ST,"(34.1667, -118.3965)",8890,205,1329,17,5,39
201504571,01/13/2020,01/13/2020,0005,15,N Hollywood,1513,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 4015,19,F,O,101,STREET,RHODES                       AV,ARCHWOOD                     ST,"(34.1926, -118.403)",8889,180,406,,5,70
201804176,01/03/2020,01/03/2020,0005,18,Southeast,1842,997,TRAFFIC COLLISION,0605 4018 3037 3028 3030 3101,43,F,X,101,STREET,111TH                        PL,MAIN                         ST,"(33.9339, -118.2739)",24355,812,704,7,14,
200706572,02/23/2020,02/23/2020,0005,07,Wilshire,0721,997,TRAFFIC COLLISION,3004 3026 3035 3036 3101 3401 3701 4007,39,M,O,101,STREET,SAN VICENTE,BEVERLY                      BL,"(34.0754, -118.3789)",23679,633,809,,6,26
200904477,01/12/2020,01/12/2020,0005,09,Van Nuys,0916,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 4026,45,M,O,101,STREET,COSTELLO                     AV,HART                         ST,"(34.1976, -118.4378)",19733,234,506,,5,18
